Mixture	Macrophages	Epithelial_1	T cell	Mesenchymal	Endothelial	Epithelial_2	CAFs	Dendritic	Epithelial_3	P-value	Correlation	RMSE
TCGA-30-1857-01A	0.0799374183609391	0.485369468935829	0	0.0273253087559441	0.00953798977406502	0	0.180816688851228	0	0.217013125321996	0	0.563983127886051	0.829516355521427
TCGA-13-1407-01A	0	0.944566971564815	0	0.0334107973972539	0.0139182605084006	0	0.000953782632180674	0	0.00715018789734969	0.002	0.322244732169386	0.953079742766879
TCGA-24-1552-01A	0.0043507028348607	0.591548543021538	0	0.0557862309580011	0.00791084188675428	0	0.0150681004993778	0	0.325335580799468	0	0.502957026567602	0.868973089013484
TCGA-23-1026-01B	0.103262150949787	0.571636460224905	0	0.0110616921133787	0.00848056845535513	0	0.104172660619013	0	0.201386467637561	0	0.633167565348295	0.800686449049365
TCGA-61-2092-01A	0.0196120734124086	0.49551685311126	0	0.0474067220319926	0	0.0275474448936597	0	0.0566596564147543	0.353257250135925	0.002	0.302470486602618	0.960918931906728
TCGA-29-1703-01A	0.0527563378608609	0.640348732337657	0	0.0527721531724071	0.0168131103256468	0.0211226212643816	0.022325960815409	0	0.193861084223637	0	0.570698966695922	0.838656969137415
TCGA-24-1422-01A	0.0954968379511365	0.47745164817407	0	0.0422503816226914	0	0	0.292967485852818	0	0.0918336463992836	0	0.705854099839166	0.713499803417252
TCGA-61-1737-01A	0.0717209995575575	0.32874291521335	0	0.0832626076734268	0	0	0.294553683648498	0	0.221719793907168	0	0.702530658157188	0.713492994895531
TCGA-13-0768-01A	0.168738584039975	0.305908618314506	0	0.0403864880522734	0.0191159758227329	0	0.300437953418144	0	0.165412380352369	0	0.616987885291142	0.787239599029158
TCGA-13-1411-01A	0.222927807705304	0.415250726035324	0	0.0808846610475272	0.000564397773226223	0	0.224526128347001	0	0.055846279091617	0	0.664613493175032	0.750637656190983
TCGA-09-1659-01B	0.0688077890985017	0.635714780412337	0	0.0669417486979368	0.017764355372027	0	0.0192897648357648	0	0.191481561583432	0	0.447268081875032	0.895886727655152
TCGA-13-1408-01A	0.052846245535066	0.497560585956989	0	0.124774754226335	0.0133454244592768	0	0.260726207064511	0.00507645511715638	0.0456703276406656	0	0.696525616968788	0.720023381008253
TCGA-29-1777-01A	0.0794937960240358	0.500001122384782	0	0.0363063571268899	0.00957645417154179	0	0.107169435499511	0	0.26745283479324	0	0.381405847330523	0.926093944757248
TCGA-61-2102-01A	0.101677403379156	0.228614500742677	0	0.526490320089511	0.0465205746314577	0	0.0610810789098993	0.0356161222472988	0	0	0.413032498973716	0.960149253139651
TCGA-13-0893-01B	0.0521774576255651	0.713267147479635	0	0.0328152793445045	0.0176013908219751	0.0057362055279654	0.0727786204805621	0.0126454198540007	0.0929784788657917	0	0.52569734235987	0.858104252263313
TCGA-29-1695-01A	0.147562754421208	0.44455127729507	0	0.0685279764321289	0	0	0.202636552616292	0	0.136721439235301	0	0.534791725342104	0.844942554388327
TCGA-29-1694-01A	0.0528523082030604	0.638187994347809	0	0.0190874386643405	0.00607766798667997	0	0.123958736664499	0	0.159835854133611	0	0.473230551466901	0.881900500912475
TCGA-24-1544-01A	0.00686476154890969	0.768381427624521	0	0.0559736629756228	0.000676815163735585	0.029128947114315	0	0.0199961753382703	0.118978210234626	0	0.444324408111452	0.897215597544906
TCGA-25-1316-01A	0.0266106569017957	0.684517456779263	0	0.219154259712392	0.0103911837189126	0	0	0.0593264428876367	0	0.002	0.27709274981623	0.973887412305412
TCGA-23-1023-01A	0.0606447068047019	0.511563469936535	0	0.17190774583364	0.0588604136123285	0.00844574444179865	0.0573444375974246	0	0.131233481773571	0	0.508833636994866	0.863670985671456
TCGA-OY-A56Q-01A	0	0.946289303951309	0	0.0280305033413062	0.0256801927073851	0	0	0	0	0.002	0.299772852596346	0.962971494133493
TCGA-29-2427-01A	0.213523974569615	0.378966052812355	0	0.0297232360513155	0.00389672210987387	0	0.113704849116692	0.0228820932850666	0.237303072055082	0	0.633954286339213	0.789264055651292
TCGA-23-1120-01A	0.0991993216077034	0.72708033878575	0	0.112622775785969	0.0155163714479077	0	0.0319625613127547	0.00431098332357943	0.00930764773633557	0	0.525302202719227	0.858074839562064
TCGA-13-1509-01A	0.0829943345411935	0.421893782810299	0	0.0817925211840133	0.00544059957916265	0.00855587816653018	0.200164374341866	0.0420240480024827	0.157134461374453	0	0.397636078568726	0.928254786220808
TCGA-61-2104-01A	0.0885523044937655	0.71240151471357	0	0.0410352051378063	0.0127939206889587	0.00451269729235583	0.0217655615843756	0	0.118938796089168	0	0.479081329308551	0.881256016265676
TCGA-13-1501-01A	0.0238518602898703	0.56443163182479	0	0.0887515611562753	0.00862300510991517	0	0.107430460047403	0.0184132837846336	0.188498197787113	0	0.512508948459914	0.861206597514981
TCGA-13-0924-01A	0.108720964353941	0.531834669392716	0	0.0488738902842472	0.00812765044869134	0	0.0843145312235153	0	0.218128294296889	0	0.568101711987851	0.835149330340682
TCGA-13-1405-01A	0.0353174314918601	0.576943535272903	0	0.0444537135436714	0.0132655545940882	0	0.177717604225637	0	0.15230216087184	0	0.511308913720065	0.859817316881963
TCGA-13-1410-01A	0.0400456914149978	0.629053558065246	0	0.086579762191126	0.00805316715385418	0	0.0831976375875423	0.000822277436282179	0.152247906150951	0.002	0.287325827460491	0.968665975087056
TCGA-04-1343-01A	0.0500764309531455	0.640428991339949	0	0.0272729465742917	0.00478413742047147	0	0.125951426141814	0	0.151486067570328	0	0.490401983587726	0.873130718914179
TCGA-24-1103-01A	0.0113288882869555	0.607413232338561	0	0.0394349790555111	0.00711274710532494	0.0143484144865312	0	0.0111899492090198	0.309171789518096	0	0.550826138894245	0.845783490585377
TCGA-29-2425-01A	0.0326698252291127	0.807111337649221	0	0.104507153782944	0.00956365629147404	0	0	0	0.0461480270472489	0	0.417347132176231	0.909518308679331
TCGA-09-0366-01A	0.217758320191676	0.60766010802896	0	0.0196626940783355	0.00243450386806185	0.00989320118328414	0	0	0.142591172649683	0	0.457395884679763	0.889675582676567
TCGA-24-1553-01A	0.154569547932714	0.711518191422029	0	0.0597707242986751	0.0163055461171444	0.00362752795938161	0.0013936533511315	0	0.0528148089189242	0	0.608370474469995	0.81668516309143
TCGA-23-1109-01A	0.0554325686290821	0.679936554403987	0	0.0496291035889792	0.0230899985021287	0.00220764259198507	0.102905679638862	0	0.0867984526449763	0	0.54880993319714	0.844360289622115
TCGA-24-2035-01A	0.116773713321738	0.325293326601216	0	0.0814432122294541	0.0405984327259224	0	0.307318738685783	0	0.128572576435887	0	0.561213069259274	0.83493340305789
TCGA-24-1413-01A	0.0480506094355719	0.67806797354943	0	0.0370590382855829	0.0069944246071423	0.0697747723862078	0.000779260973284602	0.00337812713857699	0.155895793624204	0	0.467791968402566	0.886537155498601
TCGA-59-2350-01A	0.037446781316584	0.52062647276408	0	0.102087414915739	0	0	0	0	0.339839331003597	0	0.582846745614005	0.830666545579148
TCGA-61-2008-01A	0.0672614062076287	0.668795110121603	0	0.20636335122223	0.02282948191022	0	0.0128005748010463	0.00583749758846675	0.016112578148805	0	0.552275357466494	0.843206413838771
TCGA-24-1558-01A	0.0407015513623048	0.799187368928759	0	0.0403226967260404	0.00579995550422845	0	0.012321440081982	0.00939004561208424	0.092276941784601	0	0.414353060400273	0.910835552654227
TCGA-61-2012-01A	0.13889838100939	0.582966392267999	0	0.0792316170715252	0	0	0.0089361828167657	0	0.18996742683432	0	0.459585939238344	0.889692408604907
TCGA-23-1029-01B	0.0293878726659689	0.642595163583421	0	0.176968471080331	0.0165589087136542	0.00158537709126698	0	0.00130142336319324	0.131602783502164	0	0.575601814225534	0.835217821075637
TCGA-23-1021-01B	0.0443023290420404	0.712339607044105	0	0.0478032816358677	0.0197220194541941	0.00818116079249064	0.0141158807875029	0.0272142189478704	0.126321502295929	0	0.516156210458221	0.864164479922226
TCGA-29-1690-01A	0.154140559362347	0.579792878393473	0	0.0374530580258212	0.019569644555612	0.0216977894107604	0.119906079732382	0	0.0674399905196036	0	0.560762006765665	0.835146258237423
TCGA-29-1763-01A	0.0344539700794396	0.541488243135528	0	0.204581682762611	0.0185104656441824	0.0162496409168561	0	0	0.184715997461382	0	0.582818791946651	0.83037096037536
TCGA-04-1542-01A	0.00846255232024556	0.88997958288332	0	0.0431903605356952	0.0168540579731341	0.00244310401359981	0	0.00517454185128888	0.0338958004227164	0	0.50159861895395	0.870281566544388
TCGA-23-2078-01A	0.0564109310758558	0.572663823184583	0	0.0909597970664765	0.00533733026310864	0	0.206511902341558	0.054733117185452	0.0133830988829661	0	0.684690029867358	0.7403754961018
TCGA-13-A5FT-01A	0.015930191474178	0.669733254995114	0	0.0636484542923459	0.013472314436785	0.0117670555909734	0	0.0543123624368874	0.171136366773716	0	0.521612545634024	0.861290445853806
TCGA-25-1329-01A	0.0591835974958963	0.68712946432384	0	0.0396863829488166	0	0	0.146170338531474	0	0.067830216699973	0	0.565023595955459	0.831744417212971
TCGA-25-1319-01A	0.0572358002476545	0.510776901381626	0	0.0960606871428003	0.0177652362718366	0.0275786958045908	0	0	0.290582679151492	0	0.516135723743427	0.864255726692223
TCGA-04-1356-01A	0.0185930259687118	0.545268537043263	0	0.0766351826440986	0	0.0105651634130733	0.0444724323057526	0.0144703096589148	0.289995348966186	0	0.553949202166391	0.843921932304639
TCGA-25-1635-01A	0.0818005685617642	0.462543509179983	0	0.0375213481977758	0	0.0090783587143986	0.289438158859837	0.00397053265387728	0.115647523832365	0	0.590632605597558	0.807130414562213
TCGA-WR-A838-01A	0	0.626979260751059	0	0.130422674548595	0	0	0	0.0427623739593523	0.199835690740994	0	0.481898551308641	0.879731869207751
TCGA-36-1580-01A	0.0853785184173782	0.467564032518516	0	0.0748171098482184	0	0	0.302734048256353	0.00661967970374641	0.0628866112557882	0	0.492225816225246	0.885685179068327
TCGA-61-1738-01A	0.0692439867426354	0.610696058030466	0	0.0302716307222552	0.00295591659269225	0	0	0.00613448665946374	0.280697921252488	0	0.557607597816979	0.842660499497129
TCGA-09-1669-01A	0.0611180743322229	0.615583440515296	0	0.208947080529415	0.014011190996438	0	0	0.0133993872434504	0.0869408263831776	0	0.540798104680558	0.850415118864979
TCGA-25-2404-01A	0.0499091340327862	0.515172440418267	0	0.100638002283778	0.00968365081705607	0	0.128256934857393	0	0.19633983759072	0	0.473774595275128	0.880740911697578
TCGA-36-1569-01A	0.0951502794280498	0.49822439271909	0	0.0989467399190356	0.0131442347028323	0	0.245383087059692	0.028043872788148	0.0211073933831521	0	0.583632312113378	0.812298623362332
TCGA-61-1918-01A	0.073795945970129	0.690728524138025	0	0.0605012386434183	0.0255103140159681	0	0.0150464074875678	0.0020077378160381	0.132409831928854	0	0.591059436036997	0.828978880112342
TCGA-24-1842-01A	0.13242655579732	0.530225230548335	0	0	0	0	0.0952512918551234	0	0.242096921799221	0	0.571491437355087	0.832614785526714
TCGA-24-0970-01B	0.0628714344709625	0.555719136781726	0	0.150598596479908	0.0111975780213359	0.00110692267333264	0.154807618894868	0.023075219220946	0.0406234934569207	0	0.602689386678195	0.801605005314784
TCGA-25-1322-01A	0.0768015617525635	0.590281119853761	0	0.0500609592503726	0	0	0.0530820098924819	0	0.229774349250821	0	0.6150668019314	0.814148544240904
TCGA-29-1781-01A	0.273141103946	0.478134253122487	0	0.0310195410327111	0.0291973998600993	0	0.00631097002347073	0.0538251481664797	0.128371583848752	0	0.549708873710092	0.837717247631542
TCGA-25-1328-01A	0.0584678138340568	0.539324642608394	0	0.15749205031669	0.0122347268644766	0.00136681966338233	0.188549300201607	0	0.0425646465113933	0	0.623601281162155	0.783752717422406
TCGA-24-1924-01A	0.148360006424157	0.45915491871009	0	0.0318781419154935	0.00799333396506817	0	0.00306716594574481	0	0.349546433039447	0	0.628576993745392	0.802917884787284
TCGA-25-1634-01A	0	0.835037935200361	0	0.101716141174866	0	0	0	0	0.0632459236247734	0.002	0.321710335141836	0.951836152357715
TCGA-31-1950-01A	0.0643492400815173	0.641251884874461	0	0.0169286750606582	0.0129386070204	0.00110883068920314	0	0.00483841839876408	0.258584343874996	0	0.598870671344544	0.822179835985882
TCGA-13-1505-01A	0.0164596597474939	0.505287259167361	0	0.192430098929092	0	0	0.198035928590768	0.00630898777283411	0.0814780657924505	0	0.526264279519169	0.853839122488659
TCGA-30-1714-01A	0.0172155321459204	0.707099746950593	0	0.0486501912477795	0.000402901660344336	0.0303496808291478	0	0.0211741788267086	0.175107768339506	0.002	0.339928620275534	0.943491913403127
