LncRNA name	MiRNA name	Gene name	Pubmed ID	Experimental method
UCA1	miR-184	SF1	29125238	qPCR,Luciferase reporter assay,Western blot
UCA1	miR-16	MDR1	27854515	qPCR,RNAi,Western blot,RIP,Luciferase reporter assay etc.
UCA1	miR-182	p53	28137422	qPCR,RNAi,Western blot,Luciferase reporter assay,MTT assay etc.
UCA1	miR-203	Snail2	28271214	qPCR,RNAi,Western blot,RIP,Luciferase reporter assay,Cell proliferation assay etc.
UCA1	miR-135a	NA	28315290	qPCR,RNAi,Northern blot,Luciferase reporter assay,Flow cytometry assay etc.
UCA1	miR-143	HMGB1	29113184	qPCR,Luciferase reporter assay,Western blot etc.
UCA1	miR-195	ARL2	29130995	qPCR,Western blot,RIP
UCA1	miR-184	Bcl-2 	28209917	qPCR,Western blot,RIP,Luciferase reporter assay
UCA1	miR-495	p21	28466784	qPCR,Western blot,Luciferase reporter assay,RNAi
UCA1	miR-122	NA	28548636	RT-PCR,Luciferase reporter assay,in vitro knockdown
UCA1	miR-144	EGFR	28762326	luciferase reporter assay,qPCR,western blot etc.
UCC	miR-143	KRAS	28492554	qPCR,RNAi,RIP
UCC	miR-143	IGF1R	28492554	qPCR,RNAi,RIP
UCC	miR-143	Bcl-2	28492554	qPCR,RNAi,RIP
UCC	miR-143	HK2	28492554	qPCR,RNAi,RIP
UICLM	miR-215	ZEB2	29187907	qPCR,Western blotting,RIP etc.
USP16	miR-21	PTEN	29179215	qPCR,Western blot
USP16	miR-590-5p	PTEN	29179215	qPCR,Western blot
XIST	miR-137	FOXC1	28287613	qPCR,RNAi,Western blot,RIP,ChIP,Cell proliferation assay,Cell migration assay etc.
XIST	miR-497	MACC1	27911852	qPCR,RNAi,Western blot,RIP,Luciferase reporter assay,MTT assay etc.
XIST	miR-139-5p	PDK1	28231734	qPCR,RNAi,Western blot,RIP,Luciferase reporter assay etc.
XIST	miR-449a	Bcl-2	28248928	qPCR,RNAi,Western blot,Cell migration and invasion assay,CCK-8 assay etc.
XIST	miR-133a	EGFR	28295543	qPCR,Luciferase reporter assay,Cell proliferation assay,MTT assay etc.
XIST	miR-101	EZH2	29100288	qPCR,Western blot,Luciferase reporter assay etc
XIST	miR-140	iASPP	29371940	qPCR,Western blot,Luciferase reporter assay etc.
XIST	miR-124	iASPP	29371940	qPCR,Western blot,Luciferase reporter assay etc.
XIST	miR-429	NA	29187887	qPCR,Luciferase reporter assay etc.
XIST	miR-21-5p	PDCD4	29048648	qPCR,Western blotting,Luciferase reporter assay etc.
XIST	miR-497	MACC1	29212249	qPCR,Western blot,RIP,Luciferase reporter assay etc.
XIST	miR-23a	RKIP	29212233	qPCR,Luciferase reporter assays,Western blot etc.
XIST	miR-29c	NA	28985197	qPCR,Luciferase reporter assay,Western blot etc.
XIST	miR-186-5p	NA	28448993	qPCR,Western blot,RNAi,Luciferase reporter assay
XIST	miR-124	AR	28869948	qPCR,Western blot,Luciferase reporter assay
