LncRNA name	MiRNA name	Gene name	Pubmed ID	Experimental method
H19	miR-675	TGFBI	24988946	qPCR, Western blot etc.
CRNDE	miR-384	PIWIL4	27058823	qPCR, RNAi, Western blot, RIP, Luciferase reporter assay, Cell proliferation assay etc.
MIR155HG	miR-155	BIC	15738415	qPCR, Northern blot etc.
NEAT1	miR-98-5p	CTR1	27270317	qPCR, Western blot, Dual-luciferase reporter assay etc.
NEAT1	miR-214	汕catenin	28000845	qPCR, RNAi, Western blot, RNA pull-down assay, Cell migration and invasion assay etc.
NEAT1	miR-204	ZEB1	27020592	qPCR, Western blot, Luciferase reporter assay etc.
NEAT1	miR-548	FUS	27147820	qPCR, RNAi etc.
NEAT1	miR-129-5p	WNT4	27556296	qPCR, RNAi, ChIP etc.
NEAT1	let-7e	NRAS	27556696	qPCR, Cell transfection, Western blot, RIP, Dual-luciferase reporter assay, Cell migration and invasion assay etc.
NEAT1	miR-449b-5p	c-Met	26242266	qPCR, RNAi, Western blot, Luciferase reporter assay, Cell proliferation assay etc.
NEAT1	miR-107	CDK6	26822763	qPCR, Western blot, Luciferase reporter assay etc.
NEAT1	miR-377-3p	E2F3	27351135	qPCR, RNAi, Western blot, RNA pull-down assay etc.
NEAT1	miR-124-3p	HuR	27075229	qPCR, Western blot, Luciferase reporter assay etc.
NEAT1	miR-506-3p	NA	27888106	qPCR, RNAi, Dual-luciferase reporter assay, Cell proliferation assay etc.
NEAT1	miR-449a	NOTCH1	25818739	qPCR, RNAi etc.
NeD125	miR-125b-1	Bcl-2	26480000	qPCR, Cell transfection, Western blot, ChIP, RNA pull-down assay etc.
NLC1-C	miR-320a	ARPP-19	26539909	microarray, qPCR, RNAi, Western blot, Northern blot, RIP, RNA pull-down assay etc.
NLC1-C	miR-320a	ERRR	26539909	microarray, qPCR, RNAi, Western blot, Northern blot, RIP, RNA pull-down assay etc.
NLC1-C	miR-383	Cyclin D1	26539909	microarray, qPCR, RNAi, Western blot, Northern blot, RIP, RNA pull-down assay etc.
NLC1-C	miR-383	IRF1	26539909	microarray, qPCR, RNAi, Western blot, Northern blot, RIP, RNA pull-down assay etc.
NR_024015	miR-526-3p	NA	27583835	qPCR, Cell proliferation assay etc.
NUTF2P3-001	miR-3923	KRAS	26755660	microarray, qPCR, RNAi, Western blot, Luciferase reporter assay, MTT assay etc.
p21	miR-146b-5p	B-catenin	27166258	qPCR, RNAi, Western blot, Luciferase reporter assay etc.
PCA3	miR-1261	PRKD3	27743381	qPCR, RNAi, Western blot, ChIP, Luciferase reporter assay, Cell proliferation assay etc.
PCAT-1	miR-34a	cMyc	25425964	qPCR, RNAi, Luciferase reporter assay etc.
PlncRNA-1	miR-34c	AR	26808578	qPCR, Western blot, Northern blot, RIP, ChIP, Flow cytometry assay etc.
PlncRNA-1	miR-297	AR	26808578	qPCR, Western blot, Northern blot, RIP, ChIP, Flow cytometry assay etc.
PTCSC3	miR-574-5p	NA	23599737	qPCR etc.
PTENP1	miR-17	PTEN	25617127	qPCR, Western blot etc.
PTENP1	miR-17	PHLPP	25617127	qPCR, Western blot etc.
PTENP1	miR-17	ULK1	25617127	qPCR, Western blot etc.
PTENP1	miR-17	ATG7	25617127	qPCR, Western blot etc.
PTENP1	miR-17	p62	25617127	qPCR, Western blot etc.
PTENP1	miR-19b	PTEN	25617127	qPCR, Western blot etc.
PTENP1	miR-19b	PHLPP	25617127	qPCR, Western blot etc.
PTENP1	miR-19b	ULK1	25617127	qPCR, Western blot etc.
PTENP1	miR-19b	ATG7	25617127	qPCR, Western blot etc.
PTENP1	miR-19b	p62	25617127	qPCR, Western blot etc.
PTENP1	miR-20a	PTEN	25617127	qPCR, Western blot etc.
PTENP1	miR-20a	PHLPP	25617127	qPCR, Western blot etc.
PTENP1	miR-20a	ULK1	25617127	qPCR, Western blot etc.
PTENP1	miR-20a	ATG7	25617127	qPCR, Western blot etc.
PTENP1	miR-20a	p62	25617127	qPCR, Western blot etc.
PVT1	miR-1207-5p	TGFB	26990997	microarray, qPCR etc.
PVT1	miR-1207-5p	CTNNB1	26990997	microarray, qPCR etc.
PVT1	miR-1207-5p	MMP2	26990997	microarray, qPCR etc.
PVT1	miR-1207-5p	Slug	26990997	microarray, qPCR etc.
PVT1	miR-1207-5p	Snail	26990997	microarray, qPCR etc.
PVT1	miR-1207-5p	Vimentin	26990997	microarray, qPCR etc.
PVT1	miR-200b	EZH2	27272214	qPCR, RNAi, Western blot, RIP, ChIP, RNA pull-down assay etc.
PVT1	miR-146a	EGFR	27794184	qPCR, MSP-PCR, RNAi etc.
RMRP	miR-206	Cyclin D2	27192121	qPCR, RNAi, Flow cytometry assay etc.
RMRP	miR-206	KRAS	27906963	qPCR, Cell transfection, Western blot etc.
lincRNA-ROR	miR-34a	Bcl-2	27449099	qPCR, RNAi, Western blot, ChIP, Flow cytometry assay etc.
lincRNA-ROR	miR-145	RKO, Caco2, HCT8, SW480 and SW620	27071407	qPCR etc.
lincRNA-ROR	miR-145	Nanog	26636540	qPCR, RNAi, Western blot, Northern blot, Flow cytometry assay, FISH etc.
lincRNA-ROR	miR-205	Oct4	24922071	qPCR, RIP, in vivo knockdown etc.
lincRNA-ROR	miR-205	Nanog	24922071	qPCR, RIP, in vivo knockdown etc.
lincRNA-ROR	miR-205	Sox2	24922071	qPCR, RIP, in vivo knockdown etc.
lincRNA-ROR	miR-145	TNBC	25253741	microarray, qPCR, Western blot etc.
lincRNA-ROR	miR-145	Oct4	24589415	qPCR, RNAi, Flow cytometry assay, FISH etc.
lincRNA-ROR	miR-145	Nanog	24589415	qPCR, RNAi, Flow cytometry assay, FISH etc.
lincRNA-ROR	miR-145	Sox2	24589415	qPCR, RNAi, Flow cytometry assay, FISH etc.
RP11-838N2.4	miR-10a	EphA8	27270310	qPCR, Western blot, RIP etc.
RSU1P2	let-7a	N-myc	27487126	qPCR, Western blot, Flow cytometry assay, Cell migration and invasion assay etc.
SIRT1-AS	miR-29c	SIRT1	26324025	qPCR, RNAi, Western blot, Northern blot etc.
SKP2	miR-3163	Skp2	26482610	qPCR, Western blot etc.
SNHG1	miR-195	NA	27932778	qPCR, Cell transfection, Luciferase reporter assay, Cell proliferation assay, ISH etc.
SOX2OT	miR-211	SOX2	26862518	qPCR etc.
treRNA	miR-190a	SNAIL1	26608035	qPCR, RNAi, Western blot, Dual-luciferase reporter assay etc.
treRNA	miR-190a	Vimentin	26608035	qPCR, RNAi, Western blot, Dual-luciferase reporter assay etc.
TUG1	miR-9	MTHFD2	28053623	qPCR, Western blot, Luciferase reporter assay, Flow cytometry assay, MTT assay etc.
TUG1	miR-9-5p	POU2F1	27658774	qPCR, RNAi, Western blot, Flow cytometry assay, Cell proliferation assay etc.
TUG1	miR-144	c-Met	27261864	qPCR, RNAi, Western blot etc.
TUG1	miR-299	VEGF	27345398	qPCR, RNAi etc.
TUG1	miR-26a	PTEN	27363339	qPCR, RNAi, Western blot, Luciferase reporter assay etc.
TUG1	miR-34a-5p	VEGFA	27362796	qPCR, RNAi, Western blot etc.
TUG1	miR-145	ZEB2	26318860	qPCR, RNAi, Western blot, RIP, Luciferase reporter assay etc.
TUG1	miR-144	HSF2	26078353	qPCR, Lentiviral infection, Western blot, RIP, ChIP etc.
TUSC7	miR-23b	NA	27766072	qPCR, RIP, Luciferase reporter assay, RNA pull-down assay, Cell proliferation assay etc.
TUSC7	miR-10a	EphA4	27002617	qPCR, RNAi, Western blot, Cell proliferation assay etc.
TUSC7	miR-23b	p53	25765901	microarray, qPCR, RNAi etc.
UCA1	miR-196a-5p	p27Kip1	27591936	qPCR, RNAi, Western blot, Luciferase reporter assay etc.
UCA1	miR-18a	HIF1汐	27629141	qPCR, Western blot, Dual-luciferase reporter assay, Flow cytometry assay etc.
UCA1	miR-204	sox4	27667646	qPCR, RNAi, Western blot, Luciferase reporter assay, Cell proliferation assay etc.
UCA1	miR-27b	BCL-2	27694794	qPCR, Western blot, Flow cytometry assay etc.
UCA1	miR-507	FOXM1	27389544	qPCR, RNAi, Western blot, RIP, Cell proliferation assay etc.
UCA1	miR-204-5p	CREB1	27046651	qPCR, Western blot, RIP, Luciferase reporter assay etc.
UCA1	miR-145	FSCN1	26544536	qPCR, Western blot, Luciferase reporter assay etc.
UCA1	miR-16	GLS2	26373319	qPCR, Western blot, Luciferase reporter assay etc.
UCA1	miR-143	RISC	26439035	microarray, qPCR, RNAi, ISH etc.
UCA1	miR-216b	FGFR1	25760077	qPCR, RNAi, Western blot, RIP etc.
UCA1	miR-193a-3p	ERBB4	26655272	qPCR, Western blot, RIP, Luciferase reporter assay etc.
UCA1	miR-143	mTOR	24890811	qPCR, RNAi, Western blot etc.
UCA1	miR-1	Ago2	25015192	qPCR, RNAi, Western blot etc.
ucoo2kmd.1	miR-211-3p	CD44	26974151	qPCR, RNAi, Western blot, Luciferase reporter assay etc.
UFC1	miR-34a	HuR	25449213	microarray, qPCR, in vitro knockdown etc.
Unigene56159	miR-140-5p	Slug	27597739	qPCR, RNAi, Western blot, Cell migration and invasion assay, MTT assay etc.
XIST	miR-92b	Smad7	27100897	qPCR etc.
XIST	miR-101	EZH2	27620004	qPCR, RNAi, Western blot, Luciferase reporter assay, Cell proliferation assay etc.
XIST	miR-34a-5p	E2F3	27461945	qPCR, Western blot, Luciferase reporter assay etc.
XIST	miR-152	RISC	25578780	qPCR, RIP, Luciferase reporter assay etc.
ZFAS1	miR-150	ZEB1	26069248	qPCR, RIP, Luciferase reporter assay etc.
ZFAS1	miR-150	MMP14	26069248	qPCR, RIP, Luciferase reporter assay etc.
ZFAS1	miR-150	MMP16	26069248	qPCR, RIP, Luciferase reporter assay etc.
ZNFX1-AS1	miR-9	ZNFX1	27574442	qPCR, RNAi, Western blot, Cell proliferation assay, Cell apoptosis assay etc.
HOTAIR	miR-1	FOXC1	27895772	qPCR, RNAi, ChIP, Luciferase reporter assay etc.
HOTAIR	miR-7	HuR	27941336	qPCR, RNAi, Western blot, RIP, Luciferase reporter assay, Cell migration and invasion assay etc.
HOTAIR	miR-326	SP1	27460077	qPCR, RNAi, Western blot, Luciferase reporter assay, MTT assay etc.
HOTAIR	miR-373	Rab22a	27484896	qPCR, RNAi, Cell migration assay etc.
HOTAIR	miR-663b	IGF2	27895308	qPCR, RNAi, Western blot, Luciferase reporter assay etc.
HOTAIR	miR-148a	GPER	25928008	qPCR, Luciferase reporter assay etc.
HOTAIR	miR-193a	c-KIT	25979172	qPCR, RNAi, Western blot, RIP etc.
HOTAIR	miR-218	EZH2	26024833	qPCR, Western blot etc.
HOTAIR	miR-1	MAPK1	26117268	qPCR, Western blot etc.
HOTAIR	miR-214-3p	MAPK1	26117268	qPCR, Western blot etc.
HOTAIR	miR-330-5p	MAPK1	26117268	qPCR, Western blot etc.
HOTAIR	miR-205	cyclin J	26469956	qPCR, Western blot, Northern blot etc.
HOTAIR	miR-34a	C-Met	26136075	qPCR, Western blot, RIP etc.
HOTAIR	miR-34a	Snail	26136075	qPCR, Western blot, RIP etc.
HOTAIR	miR-152	HLA-G	26187665	qPCR, RNAi, Luciferase reporter assay, ELISA etc.
HOTAIR	miR-326	FGF1	26183397	qPCR, Cell transfection, Western blot, Luciferase reporter assay, Flow cytometry assay, Cell proliferation assay etc.
HOTAIR	miR-21	NA	25099764	qPCR, Western blot etc.
HOTAIR	miR-141	AGO2	24616104	qPCR, Western blot, RIP etc.
HOTAIR	miR-7	HoxD10	25070049	qPCR, Western blot, CHIP-PCR, Dual-luciferase reporter assay etc.
HOTAIR	miR-130a	c-Myc	24953832	qPCR, Northern blot, RIP, in vitro knockdown etc.
HOTAIR	miR-331-3p	HER2	24775712	qPCR, RNAi, Western blot, Luciferase reporter assay etc.
HOTAIR	miR-34a	HDAC1	23936419	microarray, qPCR etc.
HOTAIR	miR-34a	PIAS3	23936419	microarray, qPCR etc.
HOTAIR	miR-34a	TPM3	23936419	microarray, qPCR etc.
HOTAIR	miR-34a	TCF7L2	23936419	microarray, qPCR etc.
HOTAIR	miR-34a	ARNT2	23936419	microarray, qPCR etc.
HOTAIR	miR-34a	CREBBP	23936419	microarray, qPCR etc.
HOTAIR	miR-34a	JUP	23936419	microarray, qPCR etc.
HOTAIR	miR-34a	AKT2	23936419	microarray, qPCR etc.
HOTAIR	miR-196a	HOXB8	22258453	qPCR etc.
HOTAIRM1	miR-196b	HOXA	26436590	qPCR etc.
HOTAIRM1	miR-196b	HOXA	26436590	qPCR etc.
HOTTIP	miR-192	AGO2	26710269	qPCR, RNAi, Dual-luciferase reporter assay, Cell proliferation assay etc.
HOTTIP	miR-204	AGO2	26710269	qPCR, RNAi, Dual-luciferase reporter assay, Cell proliferation assay etc.
HOTTIP	miR-125b	HOXA	25424744	qPCR, Luciferase reporter assay etc.
HOXA11-AS	miR-1297	EZH2	27651312	RNA-seq, microarray, qPCR, Cell transfection, Western blot, RIP, ChIP, Luciferase reporter assay etc.
HULC	miR-200a-3p	ZEB1	27285757	qPCR, RNAi, Western blot etc.
HULC	miR-203	ADAM9	26179263	qPCR, Cell transfection, Western blot, Luciferase reporter assay, Flow cytometry assay, Cell proliferation assay etc.
HULC	miR-372	IL-6	27809873	qPCR, Western blot, RIP, Luciferase reporter assay
HULC	miR-372	IL-6	27809873	qPCR, Western blot, RIP, Luciferase reporter assay
HULC	miR-373	CXCR4	27809873	qPCR, Western blot, RIP, Luciferase reporter assay
HULC	miR-373	CXCR4	27809873	qPCR, Western blot, RIP, Luciferase reporter assay
HULC	miR-107	E2F1	26540633	qPCR, RNAi, Western blot, ChIP, Luciferase reporter assay etc.
HULC	miR-107	SPHK1	26540633	qPCR, RNAi, Western blot, ChIP, Luciferase reporter assay etc.
HULC	miR-9	PPARA	25592151	qPCR etc.
HULC	miR-372	CREB	20423907	qPCR, Western blot, Luciferase reporter assay etc.
KLKP1	miR-125b	KLKP1	27556357	microarray, qPCR etc.
LINC00152	miR-128	NTRK3	27351280	qPCR, RNAi, Western blot, Dual-luciferase reporter assay etc.
LINC00152	miR-485-3p	NTRK3	27351280	qPCR, RNAi, Western blot, Dual-luciferase reporter assay etc.
LINC00152	miR-193a-3p	ERBB4	27633443	qPCR, Western blot, Luciferase reporter assay, Cell proliferation assay etc.
LINC00152	miR-802	TCF4	25910082	qPCR, RNAi, Western blot etc.
LINC00161	miR-645	IFIT2	27609068	microarray, qPCR, RNAi, RIP, Dual-luciferase reporter assay etc.
LINC00261	miR-802	TCF4	25910082	qPCR, RNAi, Western blot etc.
LINC00673	miR-1231	PTPN11	27213290	qPCR, Flow cytometry assay etc.
LINC00969	miR-125b	KLKP1	27556357	microarray, qPCR etc.
LINC01021	miR-486	p53	26183718	RNA-seq, qPCR, Western blot, Luciferase reporter assay, pSILAC etc.
LINC01138	miR-125b	KLKP1	27556357	microarray, qPCR etc.
linc-223	miR-125-5p	interferon regulatory factor 4 (IRF4)	27517498	qPCR, Luciferase reporter assay, in vitro knockdown
lnc34a	miR-34a	p53	27077950	qPCR, Western blot, RIP etc.
lncARSR	miR-34	AXL	27117758	qPCR, RNAi, Western blot, Northern blot, ChIP, Luciferase reporter assay, ISH etc.
lncARSR	miR-34	c-MET	27117758	qPCR, RNAi, Western blot, Northern blot, ChIP, Luciferase reporter assay, ISH etc.
lncARSR	miR-449	AXL	27117758	qPCR, RNAi, Western blot, Northern blot, ChIP, Luciferase reporter assay, ISH etc.
lncARSR	miR-449	c-MET	27117758	qPCR, RNAi, Western blot, Northern blot, ChIP, Luciferase reporter assay, ISH etc.
LOC150622	miR-23b	TUSC7	25765901	microarray, qPCR, RNAi etc.
LOC553103	miR-BART6-3p	CDH2	27584792	microarray, qPCR, RNAi, Luciferase reporter assay etc.
LOC553103	miR-BART6-3p	CDH2	27584792	microarray, qPCR, RNAi, Luciferase reporter assay etc.
LOC553103	miR-BART6-3p	SNAL1	27584792	microarray, qPCR, RNAi, Luciferase reporter assay etc.
LOC553103	miR-BART6-3p	SNAL1	27584792	microarray, qPCR, RNAi, Luciferase reporter assay etc.
LOC553103	miR-BART6-3p	MMP2	27584792	microarray, qPCR, RNAi, Luciferase reporter assay etc.
LOC553103	miR-BART6-3p	MMP2	27584792	microarray, qPCR, RNAi, Luciferase reporter assay etc.
LOC553103	miR-BART6-3p	MMP9	27584792	microarray, qPCR, RNAi, Luciferase reporter assay etc.
LOC553103	miR-BART6-3p	MMP9	27584792	microarray, qPCR, RNAi, Luciferase reporter assay etc.
M59227	miR-23b	TUSC7	25765901	microarray, qPCR, RNAi etc.
MALAT1	miR-448	KDM5B	26917489	qPCR, RNAi, Western blot etc.
MALAT1	miR-26b	p62	27524242	qPCR, RNAi, Western blot, Dual-luciferase reporter assay etc.
MALAT1	miR-1	cell division cycle 42 (cdc42)	26926567	qPCR, Western blot, Luciferase reporter assay, Immunofluorescent assay etc.
MALAT1	miR-375	DNMT1	27658300	qPCR, Cell transfection, Western blot, Dual-luciferase reporter assay, Flow cytometry assay etc.
MALAT1	miR-200c	TGFB	27693631	qPCR, RNAi, Western blot, RIP, Luciferase reporter assay, Cell proliferation assay etc.
MALAT1	miR-206	ANXA2	27191262	qPCR, RNAi, Western blot, Flow cytometry assay, Cell proliferation assay etc.
MALAT1	miR-206	KRAS	27191262	qPCR, RNAi, Western blot, Flow cytometry assay, Cell proliferation assay etc.
LINC00152	miR-376c-3p	Ki-67	28078002	qPCR, Flow cytometry assay, CCK-8 assay etc.
LINC00152	miR-376c-3p	Bcl-2	28078002	qPCR, Flow cytometry assay, CCK-8 assay etc.
LINC00152	miR-376c-3p	Fas	28078002	qPCR, Flow cytometry assay, CCK-8 assay etc.
LINC00312	miR-197-3p	TIMP2	27631965	qPCR, Western blot etc.
LINC00312	miR-197-3p	MMP2	27631965	qPCR, Western blot etc.
LINC00312	miR-197-3p	MMP9	27631965	qPCR, Western blot etc.
LOC554202	miR-31	RhoA	22289355	qPCR etc.
LOC554202	miR-31	WAVE3	22289355	qPCR etc.
MALAT1	miR-124	E2F1	26918449	qPCR, RNAi, Western blot, Dual-luciferase reporter assay etc.
MALAT1	miR-122	IGF1R	27486823	qPCR, RNAi, Western blot, Cell proliferation assay etc.
MALAT1	miR-363-3p	MCL-1	27420766	qPCR, RNAi, Western blot, Flow cytometry assay, Cell proliferation assay etc.
MALAT1	miR-155	FBXW7	27904771	qPCR, RNAi, Western blot, Luciferase reporter assay etc.
MALAT1	miR-204	SLUG	27294002	qPCR, Western blot, RIP, Luciferase reporter assay etc.
MALAT1	miR-376a	TGFA	27458156	qPCR, Cell transfection, Western blot, Luciferase reporter assay, MTT assay etc.
MALAT1	miR-506	iASPP	28031721	qPCR, RNAi, Western blot, Luciferase reporter assay, MTT assay etc.
MALAT1	miR-22	MMP14	27564100	qPCR, RNAi, Western blot, Luciferase reporter assay, Cell migration and invasion assay etc.
MALAT1	miR-25	RBM24	27584791	microarray, qPCR, Luciferase reporter assay, Cell migration and invasion assay etc.
MALAT1	miR-1	K-ras	26275461	qPCR, Western blot, Luciferase reporter assay etc.
MALAT1	miR-1	Slug	26676637	qPCR, Western blot, RIP, Luciferase reporter assay etc.
MALAT1	miR-9	ER汐	25592968	qPCR, Cell proliferation assay etc.
MALAT1	miR-200c	ZEB2	26461224	qPCR etc.
MALAT1	miR-140	CCAAT	26619802	qPCR, Western blot, RIP, ChIP, Luciferase reporter assay etc.
MALAT1	miR-145	Ago2	26311052	qPCR, RNAi, RIP, Flow cytometry assay, RNA pull-down assay etc.
MALAT1	miR-124	RBG2	26242259	qPCR, RNAi, Western blot, Luciferase reporter assay, Flow cytometry assay etc.
MALAT1	miR-1	slug	26482776	qPCR, Western blot, RIP, Luciferase reporter assay etc.
MALAT1	miR-205	c-Fos	25600645	qPCR, Luciferase reporter assay etc.
MALAT1	miR-205	EZH2	25600645	qPCR, Luciferase reporter assay etc.
MALAT1	miR-101	B-MYB	25538231	qPCR, Luciferase reporter assay etc.
MALAT1	miR-217	B-MYB	25538231	qPCR, Luciferase reporter assay etc.
MALAT1	miR-125b	SIRT7	24512851	qPCR, Western blot, ChIP, Luciferase reporter assay, Cell proliferation assay etc.
MEG3	miR-1297	PTEN	27158395	qPCR, RNAi, Western blot, Luciferase reporter assay, ISH, MTT assay etc.
MEG3	miR-29a	DNMT1	26321746	qPCR, MTT assay etc.
MEG3	miR-185	DNMT1	26321746	qPCR, MTT assay etc.
MEG3	miR-21	p53	26574780	qPCR, RNAi, Western blot etc.
MEG3	miR-141	E2F3	26233544	qPCR, Western blot etc.
MEG3	miR-181	Bcl-2	26253106	qPCR, Luciferase reporter assay, RNA pull-down assay etc.
MEG3	miR-148a	DNA methyltransferase 1	24515776	qPCR, RNAi, Western blot etc.
MEG3	miR-26a	DNMT3B	24343426	microarray, MSP-PCR, RNAi, Western blot etc.
MEG3	miR-29	DNMT1	21625215	microarray, qPCR etc.
MIF	miR-586	c-Myc	27317567	qPCR, Luciferase reporter assay etc.
MIF	miR-586	c-Myc	27317567	qPCR, Luciferase reporter assay etc.
MIF	miR-586	c-Myc	27317567	qPCR, Luciferase reporter assay etc.
MIF	miR-586	c-Myc	27317567	qPCR, Luciferase reporter assay etc.
MIF	miR-586	c-Myc	27317567	qPCR, Luciferase reporter assay etc.
MINCR	miR-26a-5p	EZH2	27345740	qPCR, RIP, Dual-luciferase reporter assay etc.
MIR155HG	miR-155	BIC	15738415	qPCR, Northern blot etc.
MIR31HG	miR-193b	CCND1	26549028	qPCR, RNAi, Western blot, RIP, Dual-luciferase reporter assay, ISH etc.
MIR31HG	miR-193b	NT5E	26549028	qPCR, RNAi, Western blot, RIP, Dual-luciferase reporter assay, ISH etc.
MIR31HG	miR-193b	PLAU	26549028	qPCR, RNAi, Western blot, RIP, Dual-luciferase reporter assay, ISH etc.
MIR31HG	miR-193b	STARD7	26549028	qPCR, RNAi, Western blot, RIP, Dual-luciferase reporter assay, ISH etc.
MIR31HG	miR-193b	STMN1	26549028	qPCR, RNAi, Western blot, RIP, Dual-luciferase reporter assay, ISH etc.
MIR31HG	miR-193b	YWHAZ	26549028	qPCR, RNAi, Western blot, RIP, Dual-luciferase reporter assay, ISH etc.
NEAT1	miR-98-5p	CTR1	27270317	qPCR, Western blot, Dual-luciferase reporter assay etc.
NEAT1	miR-214	NA	28000845	qPCR, RNAi, Western blot, RNA pull-down assay, Cell migration and invasion assay etc.
NEAT1	miR-204	ZEB1	27020592	qPCR, Western blot, Luciferase reporter assay etc.
DSCR8	miR-485-5p	FZD7	30154476	qPCR, Western blot, Luciferase reporter assay etc.
RP11-523G9.3	miR-19b-3p	RUNX2	30161026	qPCR
CTB-180A7.6	miR-19b-3p	RUNX2	30161026	qPCR
NEAT1	miR-506	ZEB1	30154460	qPCR, Western blot, Luciferase reporter assay etc.
NEAT1	miR-506	Vimentin	30154460	qPCR, Western blot, Luciferase reporter assay etc.
NEAT1	miR-506	Snail2	30154460	qPCR, Western blot, Luciferase reporter assay etc.
RP11-79H23.3	miR-107	PTEN	30149689	qPCR, Western blot, Luciferase reporter assay etc.
LINC01133	miR-106a-3p	APC	30134915	qPCR, Western blot, Luciferase reporter assay etc.
NONHSAG007671	miR-199a-3p	Hopx	30125571	qPCR, Western blot, Luciferase reporter assay etc.
KRAL	miR-141	Keap1	30119680	qPCR, Western blot, Luciferase reporter assay etc.
SNHG16	miR-15a	TLR4	30119242	Rescue assays
SNHG16	miR-16	TLR4	30119242	rescue assays
MEG3	miR-141	PDCD4	30119236	qPCR, Western blot, Luciferase reporter assay etc.
SBF2-AS1	miR-149-5p	TGFBR1	30115383	qPCR, Western blot, Luciferase reporter assay etc.
SNHG5	miR-26a	ROCK1	30114643	qPCR, Western blot, Luciferase reporter assay etc.
HOXA11-AS	miR-454-3p	STAT3	30099826	Rescue assays
AP000695.4	miR-101-3p	ZEB1	30098599	qPCR, Western blot, Luciferase reporter assay etc.
NEAT1	miR-9-5p	PTEN?	30096244	qPCR
NEAT1	miR-9-5p	POU2F1	30096244	qPCR
MALAT1	miR-140-5p	HDAC4	30094957	qPCR, Western blot, Luciferase reporter assay etc.
HOXA-AS2	miR-520c-3p	POU2F1	30081707	qPCR,Luciferase reporter assay etc.
PVT1	miR-128	VEGFC	30076714	qRT-PCR;luciferase reporter assays;Chromatin immunoprecipitation assays
FAL1	miR-637	AKT1	30062828	qPCR, Western blot
lnc015192	miR-34a	Adam12	30042416	qPCR
lncARSR	miR-200a	ZEB1	30034936	qPCR, Western blot, Luciferase reporter assay etc.
lncARSR	miR-200b	ZEB2	30034936	qPCR, Western blot, Luciferase reporter assay etc.
lncARSR	miR-200c	ZEBc	30034936	qPCR, Western blot, Luciferase reporter assay etc.
lncARSR	miR-200a	ZEB2	30034936	qPCR, Western blot, Luciferase reporter assay etc.
lncARSR	miR-200b	ZEB1	30034936	qPCR, Western blot, Luciferase reporter assay etc.
lncARSR	miR-200c	ZEBc	30034936	qPCR, Western blot, Luciferase reporter assay etc.
linc00152	miR-125b-1	MCL-1	30030896	qRT-PCR
NRAL	miR-340-5p	Nrf2	30030687	qRT-PCR
MT1DP	miR-365	NRrf2	30027041	qPCR, Western blot, Luciferase reporter assay etc.
NONMMUT065582	miR-138	YAP1	30025992	qPCR, Western blot, Luciferase reporter assay etc.
H19	miR-874	AQPq	30021355	qPCR, Western blot, Luciferase reporter assay etc.
TUG1	miR-29b	aSMA	30017186	qRT-PCR
TUG1	miR-29b	COL1a1	30017186	qRT-PCR
TUG1	miR-29b	Mmp2	30017186	qRT-PCR
TUG1	miR-29b	Mmp9	30017186	qRT-PCR
TUG1	miR-29b	Mmp10	30017186	qRT-PCR
TUG1	miR-29b	Timp1	30017186	qRT-PCR
XIST	miR-211	CXCR4	30005876	qRT-PCR
Linc01287	miR-298	STAT3	30001751	qPCR, Western blot, Luciferase reporter assay etc.
BDNF-AS	miR-130b-5p	PRDM5	29995562	qPCR, Western blot, Luciferase reporter assay etc.
H19	miR-107	NF1	30280776	qPCR, Western blot, Luciferase reporter assay etc.
TP73-AS1	miR-194-5p	SDAD1	30279010	qPCR, Western blot, Luciferase reporter assay etc.
ADAMTS9-AS2	miR-182-5p	FOXF2	30268751	qPCR, Western blot, RIP etc.
SNHG6	miR-26a-5p	E2F7	30257360	qPCR, Western blot, Luciferase reporter assay etc.
SNHG6	miR-760	FOXC1	30254467	qPCR, Western blot etc.
SNHG14	miR-340	NA	30254102	qPCR etc.
SNHG15	miR-200a-3p	YAP1	30237435	qPCR, Western blot, Luciferase reporter assay etc.
XLOC_006390	miR-331-3p	NRP2	30207103	qPCR, Western blot etc.
XLOC_006390	miR-338-3p	PKM2	30207103	qPCR, Western blot etc.
AFAP1-AS1	miR-146b-5p	EGFR	30206930	qPCR, Western blot, Luciferase reporter assay etc.
HOTAIR	miR-206	CCND1	30205383	qPCR, Western blot, Luciferase reporter assay etc.
HOTAIR	miR-206	CCND2	30205383	qPCR, Western blot, Luciferase reporter assay etc.
D63785	miR-422a	MEF2D	30195778	qPCR, Western blot etc.
OIP5-AS1	miR-143-3p	ITGA6	30188591	qPCR, Western blot, Luciferase reporter assay etc.
HNF1A-AS1	miR-661	CDK4	30185552	qPCR etc.
LOC728196	miR-513c	TCF7	30179681	qPCR, Western blot, Luciferase reporter assay etc.
TINCR	miR-31-5p	C/EBP-a	30172905	qPCR, Western blot, Luciferase reporter assay etc.
PRNCR1	miR-448	HEY2	30257372	qPCR, Western blot, Luciferase reporter assay etc.
FAL1	miR-637	NUPR1	30267804	qPCR, Western blot etc.
OGFRP1	miR-124-3p	LYPD3	30274775	qPCR, Western blot etc.
